,first_keyword,second_keyword,associative_word
0,あお,あおばのはなのあと,かかるふじなみ
1,あお,あおやぎ,かつらぎやま
2,あお,あおやぎのいと,うちはえる-かわぞい
3,あお,あおやぎのかげ,はなをみる
4,あお,なびくあおやぎ,かすむ-のこる
5,あかしがた,あかしがた,まくらにちどりなくこえ-つづくおかごえのみち
6,あかしがた,つきのあかしがた,おかべのあき
7,あかつき,あかつき,きぬぎぬのそで
8,あかつき,あかつきづき,しぐれ
9,あかつき,あかつきのそら,くさまくら
10,あき,あきかぜ,ころもうつ-にわのつきかげ-のべのむしのね-はつかりのこえ-まつむしのこえ-やまのはのいろ-ふるさとのゆうべ-きぬぎぬのあと-ころもうつこえ-しぎのはねがき-つゆがこぼれる-ふねからきくなみがすさまじい-ひぐらしのこえ-まくらはいずこ-やまのはのつき-さおじかのこえ-つゆのふるさと-ひとむらすすき
11,あき,あきかぜがふく,なくきりぎりす-つゆふる-あさじがはら-はなすすき
12,あき,あきかぜのこえ,かげさびしい-みにしみる
13,あき,あきがくる,つきいでる-はぎさく-いなおおせどり
14,あき,あきくさ,なくきりぎりす
15,あき,あきくる,ひぐらしがなく
16,あき,あきさむい,うつあさごろも
17,あき,あきしぐれ,いろづく
18,あき,あきちかくなる,こころぼそいはなおちるころ
19,あき,あきにしぐれる,かぜにつゆがこぼれる
20,あき,あきのおもかげ,くれのはなすすき
21,あき,あきのかわかぜ,きりわたる
22,あき,あきのくれがた,はつしぐれ
23,あき,あきのさびしさ,あさぎり-きりのうち-ゆうまぐれ
24,あき,あきのさわみず,しぎなく
25,あき,あきのそら,つきのゆうぐれ
26,あき,あきのたまくら,はなすすき
27,あき,あきのつき,そでがつゆっぽい
28,あき,あきのはつかぜ,つきいでる-のこるあつさにはしいする-むしなく-さそう-たなばた-ひとはより
29,あき,あきのほたる,はしいするそでひややか
30,あき,あきのむらさめ,つゆがうい
31,あき,あきのやま,とわのふるみや
32,あき,あきのよすがら,ねられる
33,あき,あきのよなが,きりぎりす
34,あき,あきのよなよな,くさまくら
35,あき,あきのよのつき,みにしみる-のわきする
36,あき,あきふける,きぎのしたつゆ-さおじかのこえ-よわるむしのね-ころもうつおと-ありあけのつき
37,あき,あきふけわたる,かりなく
38,あき,ういあき,うえないならきかないおぎのうわかぜ
39,あき,こずえのあき,しかのこえ
40,あき,すごいあきかぜ,ののひとつまつ
41,あき,すずしさにあきたつ,ひぐらしのこえ
42,あき,ただあきのかぜ,かりなく
43,あき,とおやまのあき,きのうみ
44,あき,はつかぜときのうはきいてあきふける,ひとはのこらないもみじ
45,あき,はるあきのいろ,うつろう
46,あき,ふくかぜのあきのつゆ,ひぐらしのこえ
47,あき,ふるさとのあき,かたみ
48,あき,みねのあきかぜ,かりなく
49,あき,よわのあきかぜ,くさまくら
50,あけぼの,あけぼののくも,きぬぎぬのおもかげをしたう
51,あけぼの,あけぼののそら,わかれをいそぐ-きえない-かねなる
52,あけぼの,あけぼののやま,うぐいす-なる-ほととぎす-よこぐも
53,あけぼの,つゆのあけぼの,くさまくら
54,あけぼの,にわのあけぼの,あきのみず
55,あけぼの,のべのあけぼの,うぐいすのこえ
56,あけぼの,はるのあけぼの,うぐいす-かすむよ-かすむ
57,あけぼの,はるはあけぼの,よこぐも
58,あけぼの,ゆきのあけぼの,やまたかい
59,あける,あける,かりねののべ
60,あける,たますだれあける,つきのさむしろ
61,あける,よがあける,つきのこる
62,あさ,あさがすみ,くもにありあけのつき-うぐいすのこえ-つきがのこる-のこるつきかげ
63,あさ,あさくるうぐいす,たますだれ
64,あさ,あさけしずか,たますだれ
65,あさ,あさひかげ,あまのつりぶね
66,あさ,あさぼらけ,ありあけのつき-かりのなくこえ-したうわかれじ-あまのつりぶね-かえるかりがね-なににたとえよう
67,あさ,あさまだき,みちのはるけさ
68,あさ,かぜとあさがすみ,いづるひかげ
69,あさ,ゆきのあさあけ,うすがすみ
70,あさがお,あさがおのいろ,のわきする
71,あさがお,あさがおのはな,まつむしのこえ
72,あさがお,しぼむあさがお,ひともみる
73,あさがお,そののあさがお,ひかりさえへだたる
74,あさの,あさのさごろも,やまがつ
75,あし,あしびたくかげ,とぶほたる
76,あじけない,あじけないよ,たのみおく
77,あだ,あだとかかりくる,たまのおのすえ
78,あだ,げにもあだしむ,ももとせ
79,あと,あおばのはなのあと,かかるふじなみ
80,あと,あとをだにとう,ゆきとはなのかげ
81,あと,あめすぎたあとのしずけさ,やまのは
82,あと,いにしえのあと,なる
83,あと,きぬぎぬのあと,かたみ
84,あと,くもどりのあと,あやおるみず
85,あと,さみだれのあと,のきばかたむく
86,あと,のわきのあと,むしのこえ
87,あと,ふでのあと,かすむあけのそほぶね
88,あと,むらさめのはれゆくあとはあらし,ひにわたるふねのさむさ
89,あと,ゆうだちのあと,いそぐ-くものとだえにほのめく
90,あと,わかれじのあと,おもかげ
91,あま,あまおぶね,あらいそのなみ-わずかにみえるおきのしま
92,あま,あまのつりぶね,あさぼらけ-なみにしぐれる-まつたてる
93,あまた,かずあまた,いかばかり
94,あまひこ,あまひこのこえ,ほととぎす
95,あめ,あめかすむくれ,はるかぜ-ほととぎす
96,あめ,あめがふる,みわがさき
97,あめ,あめすぎたあとのしずけさ,やまのは
98,あめ,あめのうち,やまほととぎす
99,あめ,あめのくれ,やまほととぎす
100,あめ,あめのこるそら,ほととぎす
101,あめ,あめののどけさ,いずこにかすむ
102,あめ,あめをまつ,ときすぎるほととぎす
103,あめ,こころをつくすあめのよる,みがおいたほととぎす
104,あめ,ながあめのそら,ほととぎす
105,あめ,やよいのあめ,ほととぎす
106,あやめぐさ,あやめぐさ,やまほととぎす
107,あゆ,みずのさびあゆ,やなぎかげ
108,あらし,あらしふくやま,おおいがわかすむ
109,あらし,むらさめのはれゆくあとはあらし,ひにわたるふねのさむさ
110,あらし,ゆうあらし,いりあいのかね
111,あらそう,こころあらそううた,うぐいすのこえごえ
112,あらそう,なみだあらそうこえ,かりなく
113,あらまし,あらまし,はつほととぎす
114,あらわれる,あらわれる,そののうめのか
115,あらわれる,はなのこずえにあらわれる,ふるでらのみち
116,ありあけ,ありあけ,ころもうつこえ-かえるかりがね-つれないなかににしきぎ-よぶかいみち
117,ありあけ,ありあけのかげ,あきのよ
118,ありあけ,ありあけのそら,あきのかぜ-くさまくら
119,ありあけ,ありあけのつき,ういものはない-かえるかりがね-かりのこえ-ほととぎす-むさしのとくさまくら-あかつき-あきのくも-あきふける-かぜさえる-やまこえる
120,ありあけ,おぼろにのこるありあけのつき,たななしおぶねのおと
121,ありあけ,つきにありあけのそら,よをこめる
122,ありあけ,つきはありあけ,ほととぎす
123,ありあけ,のこるありあけ,あさぼらけ
124,ある,あるかなきか,かげろうのいわがき
125,ある,あるもの,くものうえ
126,ある,ひともある,かずそう
127,あわれ,あわれ,さすらうみ
128,あわれ,あわれしる,いにしえのあと
129,あわれ,あわれである,おぎのうわかぜ
130,あわれ,ちょうのあわれさ,うちかわす
131,あわれ,のべのあわれさ,あさぼらけ
132,い,やまのいのみず,このもと
133,いかが,いかが,あきのゆうぐれ
134,いくえ,いくえかすみ,かねのひびき
135,いくえ,いくえとよらのたけのしたみち,またつきあるゆきのはれる
136,いけ,いけふる,あまのかぐやま
137,いけ,いけみず,こおりとけゆく
138,いさらい,いさらいのみず,あけるよ
139,いずち,とまりぶねおとしていずち,たびのくにぐにのひと
140,いずち,ほととぎすまくらのいずちすぎる,しずかなあめ
141,いそぐ,いそぐ,きりのみちのかたがた
142,いそぐ,かえりをいそぐ,しばもつひと
143,いち,なかなかいちはすみよい,みわのすぎむら
144,いつ,いつかさて,またはじらう
145,いつわり,いつわり,ことのはのすえ
146,いと,あおやぎのいと,うちはえる-かわぞい
147,いとう,よをいとう,すみぞめのそで
148,いなおおせどり,いなおおせどり,ながめわびる
149,いなずま,いなずまのかげ,よいのま
150,いにしえ,いにしえ,やまかぜがふく
151,いにしえ,いにしえのあと,なる
152,いにしえ,いにしえのつき,ういあき
153,いにしえ,いにしえのみや,はなさく
154,いにしえ,いにしえのゆめ,さよまくら
155,いのち,いのちであってほしい,のりのみち
156,いのち,いのちにて,たのむおなじよ
157,いのる,かみにただいのる,むすぶちぎり
158,いま,むかしをいまの,ほととぎす
159,いも,いもがこいしくて,まくらにかたしく
160,いも,いもにこいつつ,くさまくら
