,季節,季語,読み仮名,傍題
0,春,藍蒔く,あいまく,藍植う
1,春,青木の花,あおきのはな,花青木
2,春,石蓴,あおさ,川菜
3,春,青饅,あおぬた,
4,春,青麦,あおむぎ,麦青む
5,春,通草の花,あけびのはな,木通の花・花通草
6,春,胡葱,あさつき,糸葱・千本分葱・せんぶき
7,春,朝寝,あさね,
8,春,麻蒔く,あさまく,
9,春,浅蜊,あさり,鬼浅蜊・姫浅蜊・浅蜊舟・浅蜊売・浅蜊汁
10,春,薊,あざみ,花薊
11,春,明日葉,あしたば,
12,春,蘆の角,あしのつの,あしかび・蘆の芽・角組む蘆・蘆の錐
13,春,蘆の若葉,あしのわかば,若蘆
14,春,馬酔木の花,あしびのはな,花馬酔木・あせび・あせみ
15,春,蘆焼く,あしやく,
16,春,アスパラガス,あすぱらがす,松葉独活（まつばうど）
17,春,アズマイチゲ,あずまいちげ,東一華
18,春,東菊,あずまぎく,吾妻菊
19,春,畦塗,あぜぬり,畔塗・塗畦
20,春,暖か,あたたか,ぬくし・春暖
21,春,アネモネ,あねもね,
22,春,虻,あぶ,
23,春,海女,あま,磯人・かつぎ・もぐり・海女の笛
24,春,甘茶,あまちゃ,仏の産湯・五香水・甘茶仏・甘茶寺・灌仏・浴仏
25,春,鮎汲,あゆくみ,
26,春,杏の花,あんずのはな,からももの花・花杏・杏花村
27,春,飯蛸,いいだこ,
28,春,鮊子,いかなご,こうなご・かますご・いかな子舟
29,春,伊勢参,いせまいり,伊勢参宮・伊勢詣・伊勢講・参宮講・抜参・御蔭参
30,春,磯遊び,いそあそび,磯開き・磯祭
31,春,磯竈,いそかまど,磯焚火
32,春,磯巾着,いそぎんちゃく,いしぼたん
33,春,磯菜摘,いそなつみ,
34,春,虎杖,いたどり,さいたづま
35,春,苺の花,いちごのはな,花苺・草苺の花・蛇苺の花
36,春,一の午,いちのうま,
37,春,銀杏の花,いちょうのはな,公孫樹の花・ぎんなんの花
38,春,一輪草,いちりんそう,一花草・裏紅一花
39,春,凍解,いてどけ,凍解く・凍ゆるむ
40,春,犬ふぐり,いぬふぐり,いぬのふぐり
41,春,芋植う,いもうう,
42,春,岩燕,いわつばめ,
43,春,魚島,うおじま,
44,春,萍生ひ初む,うきくさおいそむ,萍生ふ
45,春,鶯,うぐいす,黄鳥・匂鳥・春告鳥・初音・鶯の谷渡り・鶯笛
46,春,鶯菜,うぐいすな,黄鳥菜・小松菜
47,春,鶯餅,うぐいすもち,
48,春,五加木,うこぎ,むこぎ・五加・五加木垣・五加木飯
49,春,海髪,うご,おご・おごのり
50,春,牛蛙,うしかえる,食用蛙
51,春,雨水,うすい,
52,春,薄氷,うすらい,薄氷・春の氷・残る氷
53,春,鷽,うそ,琴弾鳥・照鷽・雨鷽・鷽姫
