,ku
0,あきのみつ	まくらゆふのの	いくたかは
1,いけみつに	うきたるかもの	むらねして
2,うくひすの	ひとけののきも	きえはせて
3,えたもなほ	ちりすくはたを	のりのかと
4,おもひのみ	かりなくまても	かひやらて
5,かりそなく	かけふむひまの	あととほみ
6,きみかよの	うきみはむすふ	ふみにして
7,くみもせて	かよふははなの	こかけにて
8,けふもまた	みやこのそらの	かはるよに
9,こもりゐる	あともくるらし	ふしのたけ
10,さみたれに	かたはかりなる	ひとやたれ
11,しのひつま	まつあやにくに	つきいてて
12,すさましく	ふくやをくらの	みねおろし
13,せみのはも	かさりのいろに	さきたてて
14,それとしも	おもひのほかは	ゆめなれや
15,たれありは	さのみとならぬ	みよのてら
16,ちりにけり	まちしはかりや	おそさくら
17,つみしらは	ひとよりもなを	とほくきて
18,てらよりも	くるるかたから	うちとけて
19,とめくるも	かりのまくらの	ゆめはみつ
20,なつははや	きのふにはるの	あきのかせ
21,にはにさせ	つきのしらなみ	なつのうみ
22,ぬれそへて	ところははなの	みやこかな
23,ねやのうへに	おときくはなや	ゆきならむ
24,のこれせし	あとさらはるる	ほとときす
25,はかなしや	にしをこころの	しはのいほ
26,ひとへゆく	みつはこなたの	なかめにて
27,ふゆやとき	うつろふやまの	はなのもと
28,めててきに	さとのありあけ	とほからし
29,ほとときす	ほのかなるねを	はつねにて
30,まつかけを	ふらすはつゆも	にほひきて
31,みちとほき	しかのそのふの	そらさむし
32,むらくもを	はなにのこせる	つきいてて
33,めてさらは	くにしやつゆに	かかるらむ
34,ものおもふ	あきをはいかか	わかよはひ
35,らうかへし	かみのしるしの	みゆきかな
36,りうくひすや	いてしといはむ	ものならて
37,るもいまも	かへすたのもの	かりまくら
38,れいよりも	くちぬるままの	はなそそめ
39,ろきつき	てらせかはれる	ほとときす
40,わかいほの	はつかにかすむ	ちのさとに
41,あめかとも	みえていくかの	やまならむ
42,いつくとも	たのむよひとや	かくるらむ
43,うまやちや	つきをかこたむ	あきのあめ
44,えにさかぬ	うまやつたひは	きりふりて
45,おしねらせ	かたのにかへる	あまつかり
46,かしこきは	きしをるやまの	ものかなし
47,きみかため	わかおもかけそ	つくもかみ
48,くらきよの	ねさめのこころ	さきたつて
49,けさもふれ	いりひはこけの	かきつはた
50,こほりつつ	せせをちとりや	はしりみつ
51,さきさかす	よはひをよそに	おきませて
52,しもたにも	うちかくやまの	ふもとかは
53,すてひとの	ゆめはみえしも	いかならむ
54,せむすかも	なみにのこれる	ふねのうち
55,そことしも	なかれのもりの	かたみにて
56,たへわひて	ねてのあさけの	かたみにて
57,ちるはなの	ゆきさへさむき	みやまかな
58,つゆしけみ	しもにそよくや	あまつかせ
59,てにとらぬ	ははひはなかき	をきのかせ
60,とまりふね	あけほのいそく	なみのうへ
61,なにかかく	ちらはにほひし	うめのはな
62,にはにせけ	なもうつもれは	よるのあめ
63,ぬししらぬ	あきのひかりを	そてにみて
64,ねさめして	かへるさいかに	さとあれて
65,のやまにも	おなしみとりの	いちかりね
66,はるのつき	やれたるくもの	みきはかな
67,ひとはすて	はなはいそかぬ	かみまつり
68,ふりつつく	そらかとふりの	かせのおと
69,めくるよを	おもへはみつの	あわなれや
70,ほともなく	ねかひのともや	しらるらむ
71,まきのとを	あけゆくよはの	はなのかに
72,みしゆめは	あとなきつきを	おもかけに
73,むらくもに	ふくやのわきの	はつをはな
74,めくるまを	おもへはこその	しくれかな
75,ものすこき	ゆふへのけふり	ものわひし
76,らうかせの	こほりしたもの	そてのつき
77,りうすいを	たつねしつきの	いろすみて
78,るりそへて	ところせきのの	ふちころも
79,れいならは	いかなるときそ	ゆめならむ
80,ろきはに	うつろふはるの	ますかかみ
81,わけかへる	のはしもかれの	かれやらて
82,あめかすむ	ふもとのみちの	をしなきて
83,いとへたた	よしののおくの	なきよかは
84,うちとけて	かたりしなこり	おもひやれ
85,えらひおく	うたのまきまき	みわのやま
86,おもひやる	よしののおくの	さととほみ
87,かさねても	ひとりはさゆる	からころも
88,きけはけさ	よるのしくれの	あさまやま
89,くもらまし	ゆきまにさむき	ふもとかな
90,けふよりも	すむよやさとに	すてつらむ
91,こひしさの	かくれむことは	かはやまに
92,さとはなほ	すさましきまて	あれはてて
93,しのはしよ	かみのこさへぬ	ふねのうち
94,すみれつむ	このやまきはの	あきのくれ
95,せきのとを	ひらくはかりの	はかせにて
96,そめてほす	いなはのきりの	あさくもり
97,たれもこの	ゆかりもしらぬ	みよなかに
98,ちりののち	いくありあけの	しらへかな
99,つゆはかり	おとせしよひの	はつしくれ
100,てらぬへき	をりたのませぬ	さきとめて
101,とまりふね	かはかせふきて	くらきよに
102,ななそちの	よはのかるとも	なにならむ
103,にほひくる	はなはいたまの	かりころも
104,ぬるとりの	つはさにねむる	やまかけに
105,ねてかへる	たひのともふね	こきちかひ
106,のきはには	またたちいつる	ひとことに
107,はるのよも	あけくれすむや	くれならむ
108,ひとへこそ	つきにさはらぬ	さよこくも
109,ふしはひえ	かすみをわくる	おちはかな
110,めてたきを	わかみのうへに	ならへたた
111,ほともなく	はなにいりえか	よをふかみ
112,まつはらの	あきやつきのに	しらるらむ
113,みちもたた	こころとうるは	おほつかな
114,むらたけの	いろこきねふる	さととほみ
115,めくるまを	おもへはこその	しくれかな
116,もろこしの	そらうたかはの	なみきよし
117,らうかへり	さてもみなから	かつさきて
118,りよそにうき	ふみはかきりも	きえやらて
119,るいのちや	いくうまさくら	ちかからむ
120,れいなむよ	はなこそはなの	はるのくさ
121,ろけなほ	つきをひたしの	わかおもひ
122,わくるのの	つきをたちよる	ゆきのくれ
123,あめもひも	くつるのきはの	やまおろし
124,いはつたふ	しつくさへなみ	はるかにて
125,うめかかを	とふひとなれや	こけのには
126,えをいけみ	はなにまちくる	かたもなし
127,おきそふる	むねのちとせの	ひひきかな
128,かせにつもり	あきになれたる	すすかやま
129,きみやうき	よにてふとはは	わすれまし
130,くさむしろ	はきははしさす	としをへて
131,けふのまの	ゆふかつらせぬ	さよとして
132,ことのはの	みちならはしも	いかならむ
